3.3V,W9,POWER,3
3.3V,W12,POWER,3
3.3V,Y7,POWER,3
3.3V,Y17,POWER,3
1.8v,A9,POWER,3
1.8v,A10,POWER,3
1.8v,A12,POWER,3
1.8v,B2,POWER,3
1.8v,B19,POWER,3
1.8v,C3,POWER,3
1.8v,C7,POWER,3
1.8v,C18,POWER,3
1.8v,D5,POWER,3
1.8v,D6,POWER,3
1.8v,D11,POWER,3
1.8v,D14,POWER,3
1.8v,D15,POWER,3
1.8v,F4,POWER,3
1.8v,F17,POWER,3
1.8v,K1,POWER,3
1.8v,K4,POWER,3
1.8v,K17,POWER,3
1.8v,L4,POWER,3
1.8v,L17,POWER,3
1.8v,L20,POWER,3
1.8v,R4,POWER,3
1.8v,R17,POWER,3
1.8v,U6,POWER,3
1.8v,U10,POWER,3
1.8v,U11,POWER,3
1.8v,U14,POWER,3
1.8v,U15,POWER,3
1.8v,V3,POWER,3
1.8v,V18,POWER,3
1.8v,W2,POWER,3
1.8v,W19,POWER,3
GND,A1,GROUND,3
GND,A2,GROUND,3
GND,A11,GROUND,3
GND,A14,GROUND,3
GND,A19,GROUND,3
GND,A20,GROUND,3
GND,B1,GROUND,3
GND,B4,GROUND,3
GND,B11,GROUND,3
GND,B15,GROUND,3
GND,B20,GROUND,3
GND,C8,GROUND,3
GND,C9,GROUND,3
GND,D4,GROUND,3
GND,D8,GROUND,3
GND,D13,GROUND,3
GND,D17,GROUND,3
GND,E2,GROUND,3
GND,E4,GROUND,3
GND,E17,GROUND,3
GND,F19,GROUND,3
GND,G4,GROUND,3
GND,G17,GROUND,3
GND,H4,GROUND,3
GND,H17,GROUND,3
GND,J4,GROUND,3
GND,K2,GROUND,3
GND,K20,GROUND,3
GND,M4,GROUND,3
GND,M17,GROUND,3
GND,N4,GROUND,3
GND,N17,GROUND,3
GND,P4,GROUND,3
GND,P17,GROUND,3
GND,P19,GROUND,3
GND,T4,GROUND,3
GND,T17,GROUND,3
GND,U4,GROUND,3
GND,U8,GROUND,3
GND,U9,GROUND,3
GND,U13,GROUND,3
GND,U17,GROUND,3
GND,U20,GROUND,3
GND,W1,GROUND,3
GND,W5,GROUND,3
GND,W11,GROUND,3
GND,W16,GROUND,3
GND,W20,GROUND,3
GND,Y1,GROUND,3
GND,Y2,GROUND,3
GND,Y13,GROUND,3
GND,Y19,GROUND,3
